Property ID,Property Name,Location,Bedrooms,Bathrooms,Max Guests,Base Nightly Rate,Peak Season Rate,Off Season Rate,Cleaning Fee,Service Fee %,Tax Rate %,Owner ID
1001,Beachfront Villa #1,"Miami,FL",3,2,6,300,350,250,120,14,6.0,1
1002,Beachfront Villa #2,"Miami,FL",3,2,6,300,350,250,120,14,6.0,1
1003,Beachfront Villa #3,"Miami,FL",3,2,6,300,350,250,120,14,6.0,1
1004,City View Apartment #4,"Chicago,IL",2,1,4,180,220,150,90,14,10.25,1
1005,Mountain Retreat #1,"Aspen,CO",4,3,8,450,550,350,150,14,2.9,2
1006,City View Apartment #2,"Chicago,IL",2,1,4,180,220,150,90,14,10.25,2
1007,Beachfront Villa #3,"Miami,FL",3,2,6,300,350,250,120,14,6.0,2
1008,Downtown Loft #4,"New York,NY",1,1,2,150,180,120,75,14,8.875,2
1009,Beachfront Villa #1,"Miami,FL",3,2,6,300,350,250,120,14,6.0,3
1010,Lakeside Cottage #2,"Lake Geneva,WI",2,1,4,200,250,160,80,14,5.0,3
1011,Lakeside Cottage #3,"Lake Geneva,WI",2,1,4,200,250,160,80,14,5.0,3
1012,City View Apartment #4,"Chicago,IL",2,1,4,180,220,150,90,14,10.25,3
1013,Beachfront Villa #1,"Miami,FL",3,2,6,300,350,250,120,14,6.0,4
1014,Mountain Retreat #2,"Aspen,CO",4,3,8,450,550,350,150,14,2.9,4
1015,City View Apartment #3,"Chicago,IL",2,1,4,180,220,150,90,14,10.25,4
1016,Downtown Loft #4,"New York,NY",1,1,2,150,180,120,75,14,8.875,4
1017,Mountain Retreat #1,"Aspen,CO",4,3,8,450,550,350,150,14,2.9,5
1018,City View Apartment #2,"Chicago,IL",2,1,4,180,220,150,90,14,10.25,5
1019,Lakeside Cottage #3,"Lake Geneva,WI",2,1,4,200,250,160,80,14,5.0,5
1020,Mountain Retreat #4,"Aspen,CO",4,3,8,450,550,350,150,14,2.9,5
